"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8879","Date Picker","chromium","2026-05-11","passed","2026-05-11","","calendarvalidation.spec.js","",""
"","3495","Login using valid creds","chromium","2026-05-11","passed","2026-05-11","","logintestMain.spec.ts","",""
